product_key,download_filename,local_path,bytes,sha256,member_count,gpkg_count,pdf_count,xlsx_count
AOI00_GRM_v2,EMSR884_AOI00_GRM_PRODUCT_v2.zip,ops/data_acquisition_plan/official_products/EMSR884_AOI00_GRM_PRODUCT_v2.zip,161159201,74814e7a0aa39c5c74d6c36ed8f394051a79043f2cabaef3e0b300b5b5628831,39,1,1,1
AOI02_GRA_v1,EMSR884_AOI02_GRA_PRODUCT_v1.zip,ops/data_acquisition_plan/official_products/EMSR884_AOI02_GRA_PRODUCT_v1.zip,9098575,87d613aa699056d44d5f281b8ca481d4aa82098dc1d653abaafbee44f0ee9fea,46,1,1,1
AOI02_GRA_MONIT01_v2,EMSR884_AOI02_GRA_MONIT01_v2.zip,ops/data_acquisition_plan/official_products/EMSR884_AOI02_GRA_MONIT01_v2.zip,13441552,93db216f927888200f6e644fbdb0f5728afabb210e32dce9b4cfe335bd3ee1dc,54,1,1,1
AOI05_GRA_v1,EMSR884_AOI05_GRA_PRODUCT_v1.zip,ops/data_acquisition_plan/official_products/EMSR884_AOI05_GRA_PRODUCT_v1.zip,10005030,1d4008297d3899340d3ceb29619b42828f82d24a6f097c53ab37e198c36d8c70,38,1,1,1
AOI06_GRA_MONIT01_v2,EMSR884_AOI06_GRA_MONIT01_v2.zip,ops/data_acquisition_plan/official_products/EMSR884_AOI06_GRA_MONIT01_v2.zip,2681304,468f662597037726c5bb5f907bd2baf8e38dfe35572a4be81cde8a1987ef574a,46,1,1,1
AOI06_GRA_v1,EMSR884_AOI06_GRA_PRODUCT_v1.zip,ops/data_acquisition_plan/official_products/EMSR884_AOI06_GRA_PRODUCT_v1.zip,2833563,f0ffcf5ab3f97d9bb826c9ae2970ef1b233532c221585206bbd00731e1d874f4,46,1,1,1
AOI08_GRA_v1,EMSR884_AOI08_GRA_PRODUCT_v1.zip,ops/data_acquisition_plan/official_products/EMSR884_AOI08_GRA_PRODUCT_v1.zip,9769338,49fb7c80b53eb46a6a99d0e57a1f9685127f36f331b0bcbbaa2add7c62a46932,46,1,1,1
AOI08_GRA_MONIT01_v2,EMSR884_AOI08_GRA_MONIT01_v2.zip,ops/data_acquisition_plan/official_products/EMSR884_AOI08_GRA_MONIT01_v2.zip,11270014,a6ca56181170017c612137d19628a218ba8bd08e9a49f86a4c9c02642bc1e8bf,46,1,1,1
AOI12_GRA_v2,EMSR884_AOI12_GRA_PRODUCT_v2.zip,ops/data_acquisition_plan/official_products/EMSR884_AOI12_GRA_PRODUCT_v2.zip,13193842,5a29af24712a029fc33d6dd01a037102598c235744f2731ac623a18a657b68d4,54,1,1,1
AOI12_GRA_MONIT01_v1,EMSR884_AOI12_GRA_MONIT01_v1.zip,ops/data_acquisition_plan/official_products/EMSR884_AOI12_GRA_MONIT01_v1.zip,19257844,d828435e03540ffaaa6d96e1f330ff05293998aa2758329c60b5ff7502ad0c4e,70,1,1,1
